DESCRIPCIÓN DE LAS UNIDADES,Dólares de Estados Unidos por Euro,Yenes japoneses por Euro,Francos suizos por Euro,Libras esterlinas por Euro,Coronas checas por Euro,Coronas danesas por Euro,Forints húngaros por Euro,Zlotys polacos por Euro,Lei rumanos por Euro,Coronas suecas por Euro,Coronas noruegas por Euro,Liras turcas por Euro,Dólares australianos por Euro,Reales brasileños por Euro,Dólares canadienses por Euro,Yuans por Euro,Dólares de Hong Kong por Euro,Rupias indonesias por Euro,Rupias indias por euro,Wons surcoreanos por Euro,Pesos mejicanos por Euro,Dólares neozelandeses por Euro,Pesos filipinos por Euro,Dólares de Singapur por Euro
01 AGO 2016,"1,116 USD","114,280 JPY","1,081 CHF","0,845 GBP","27,029 CZK","7,439 DKK","311,010 HUF","4,351 PLN","4,454 RON","9,583 SEK","9,446 NOK","3,342 TRY","1,475 AUD","3,636 BRL","1,459 CAD","7,414 €","8,662 CNY","14.549,550 IDR","74,464 INR","1.236,210 KRW","20,931 MXN","1,555 NZD","52,474 PHP","1,497 SGD"
02 AGO 2016,"1,119 USD","113,720 JPY","1,081 CHF","0,843 GBP","27,032 CZK","7,439 DKK","311,100 HUF","4,324 PLN","4,454 RON","9,554 SEK","9,436 NOK","3,351 TRY","1,472 AUD","3,655 BRL","1,461 CAD","7,423 €","8,686 CNY","14.627,570 IDR","74,673 INR","1.239,020 KRW","21,105 MXN","1,550 NZD","52,626 PHP","1,499 SGD"
03 AGO 2016,"1,120 USD","113,220 JPY","1,085 CHF","0,839 GBP","27,034 CZK","7,439 DKK","311,000 HUF","4,313 PLN","4,455 RON","9,515 SEK","9,424 NOK","3,374 TRY","1,475 AUD","3,661 BRL","1,467 CAD","7,423 €","8,690 CNY","14.738,640 IDR","74,922 INR","1.251,340 KRW","21,180 MXN","1,558 NZD","52,737 PHP","1,502 SGD"
04 AGO 2016,"1,114 USD","112,660 JPY","1,083 CHF","0,846 GBP","27,027 CZK","7,438 DKK","311,180 HUF","4,294 PLN","4,461 RON","9,511 SEK","9,412 NOK","3,366 TRY","1,460 AUD","3,589 BRL","1,454 CAD","7,396 €","8,638 CNY","14.649,410 IDR","74,474 INR","1.241,880 KRW","20,969 MXN","1,548 NZD","52,417 PHP","1,495 SGD"
05 AGO 2016,"1,116 USD","112,730 JPY","1,085 CHF","0,848 GBP","27,022 CZK","7,437 DKK","310,620 HUF","4,284 PLN","4,462 RON","9,504 SEK","9,402 NOK","3,347 TRY","1,457 AUD","3,550 BRL","1,453 CAD","7,411 €","8,652 CNY","14.617,710 IDR","74,492 INR","1.237,730 KRW","21,028 MXN","1,547 NZD","52,300 PHP","1,495 SGD"
08 AGO 2016,"1,109 USD","113,590 JPY","1,088 CHF","0,850 GBP","27,027 CZK","7,437 DKK","311,020 HUF","4,279 PLN","4,458 RON","9,525 SEK","9,407 NOK","3,308 TRY","1,452 AUD","3,524 BRL","1,457 CAD","7,385 €","8,600 CNY","14.552,800 IDR","74,100 INR","1.229,380 KRW","20,644 MXN","1,555 NZD","52,004 PHP","1,494 SGD"
09 AGO 2016,"1,108 USD","113,270 JPY","1,090 CHF","0,854 GBP","27,027 CZK","7,437 DKK","310,370 HUF","4,267 PLN","4,460 RON","9,488 SEK","9,357 NOK","3,302 TRY","1,446 AUD","3,505 BRL","1,457 CAD","7,380 €","8,595 CNY","14.547,530 IDR","74,099 INR","1.224,660 KRW","20,502 MXN","1,552 NZD","51,944 PHP","1,493 SGD"
10 AGO 2016,"1,118 USD","113,090 JPY","1,092 CHF","0,855 GBP","27,025 CZK","7,438 DKK","310,410 HUF","4,268 PLN","4,459 RON","9,481 SEK","9,257 NOK","3,303 TRY","1,445 AUD","3,491 BRL","1,456 CAD","7,417 €","8,675 CNY","14.627,550 IDR","74,531 INR","1.223,530 KRW","20,492 MXN","1,542 NZD","52,130 PHP","1,497 SGD"
11 AGO 2016,"1,115 USD","113,050 JPY","1,086 CHF","0,860 GBP","27,020 CZK","7,439 DKK","310,260 HUF","4,260 PLN","4,460 RON","9,431 SEK","9,229 NOK","3,305 TRY","1,446 AUD","3,516 BRL","1,456 CAD","7,403 €","8,651 CNY","14.610,430 IDR","74,556 INR","1.226,970 KRW","20,553 MXN","1,539 NZD","52,085 PHP","1,499 SGD"
12 AGO 2016,"1,116 USD","113,770 JPY","1,089 CHF","0,861 GBP","27,018 CZK","7,440 DKK","310,020 HUF","4,266 PLN","4,459 RON","9,430 SEK","9,164 NOK","3,300 TRY","1,454 AUD","3,529 BRL","1,448 CAD","7,417 €","8,655 CNY","14.623,670 IDR","74,607 INR","1.234,190 KRW","20,388 MXN","1,550 NZD","51,963 PHP","1,502 SGD"
15 AGO 2016,"1,118 USD","112,970 JPY","1,089 CHF","0,867 GBP","27,023 CZK","7,441 DKK","309,490 HUF","4,270 PLN","4,459 RON","9,460 SEK","9,175 NOK","3,301 TRY","1,458 AUD","3,546 BRL","1,445 CAD","7,420 €","8,673 CNY","14.641,330 IDR","74,778 INR","1.229,060 KRW","20,277 MXN","1,550 NZD","51,855 PHP","1,503 SGD"
16 AGO 2016,"1,130 USD","112,740 JPY","1,085 CHF","0,871 GBP","27,020 CZK","7,440 DKK","309,910 HUF","4,270 PLN","4,458 RON","9,453 SEK","9,210 NOK","3,305 TRY","1,460 AUD","3,574 BRL","1,448 CAD","7,477 €","8,760 CNY","14.774,990 IDR","75,410 INR","1.232,410 KRW","20,279 MXN","1,549 NZD","52,142 PHP","1,509 SGD"
17 AGO 2016,"1,128 USD","113,530 JPY","1,086 CHF","0,866 GBP","27,023 CZK","7,441 DKK","310,630 HUF","4,291 PLN","4,475 RON","9,495 SEK","9,281 NOK","3,309 TRY","1,478 AUD","3,624 BRL","1,453 CAD","7,483 €","8,746 CNY","14.827,940 IDR","75,400 INR","1.252,950 KRW","20,468 MXN","1,560 NZD","52,350 PHP","1,516 SGD"
